"ID","FECHA_UTC","HORA_UTC","LATITUD","LONGITUD","PROFUNDIDAD","MAGNITUD","FECHA_CORTE"
"0","19600113","154034","-16.145","-72.144","60","7.5","20223006"
"1","19600115","093024","-15","-75","70","7","20223006"
"2","19600117","025758","-14.5","-74.5","150","6.4","20223006"
"3","19600123","033732","-12.5","-68.5","300","5.8","20223006"
"4","19600130","050724","-5.5","-77.5","100","5.7","20223006"
"5","19600208","190616","-8.5","-74.5","136","5.3","20223006"
"6","19600213","204006","-17.5","-70","150","5.9","20223006"
"7","19600309","235425","-16.389","-73.817","80","6.2","20223006"
"8","19600401","131823","-14.5","-73.5","100","6.1","20223006"
"9","19600504","012852","-18","-71.5","100","5","20223006"
"10","19600512","120924","-9","-72.5","60","5.8","20223006"
"11","19600704","080207","-8","-71","600","6.2","20223006"
"12","19600709","020539","-15","-70.5","200","5.9","20223006"
"13","19600719","041914","-7","-80","33","5.3","20223006"
"14","19600730","071515","-2.5","-77.5","200","5.8","20223006"
"15","19600913","215534","-15","-75.51","67","5.7","20223006"
"16","19600914","000803","-15.2","-76.2","91","5.4","20223006"
"17","19600924","135833","-3","-75.9","146","6.4","20223006"
"18","19600926","165813","-16","-72.9","115","5.3","20223006"
"19","19601103","220219","-14.4","-71.6","55","5.3","20223006"
"20","19601111","065327","-16.1","-71.9","114","5.6","20223006"
"21","19601120","220156","-5.6","-80.9","60","6.8","20223006"
"22","19601129","191706","-16","-74","33","5.8","20223006"
"23","19601217","073831","-15.2","-73.5","28","5.2","20223006"
"24","19601222","034721","-16.2","-72.9","147","5.2","20223006"
"25","19601230","110336","-17","-70","47","5.6","20223006"
"26","19610108","052146","-15.9","-73.1","135","5.1","20223006"
"27","19610128","032446","-13.6","-76.3","86","6","20223006"
"28","19610208","080413","-10.4","-71","600","6","20223006"
"29","19610317","100628","-11.1","-78.8","60","5","20223006"
"30","19610409","171747","-18.3","-70.2","29","5.3","20223006"
"31","19610427","175214","-13.2","-75.1","83","6.2","20223006"
"32","19610603","042156","-18.1","-70.3","60","5.3","20223006"
"33","19610617","105630","-12","-75.3","29","5.5","20223006"
"34","19610701","131040","-15.3","-74.8","68","5.8","20223006"
"35","19610703","144930","-8.7","-79.1","57","5.8","20223006"
"36","19610708","054902","-6.2","-77.1","15","5.8","20223006"
"37","19610728","010531","-2.287","-77.035","142","6.6","20223006"
"38","19610817","174943","-17.4","-72.7","46","5.6","20223006"
"39","19610819","050949","-10.8","-71","649","7","20223006"
"40","19610820","091011","-11.5","-70.6","630","6.1","20223006"
"41","19610828","062819","-15.2","-70.2","185","5.3","20223006"
"42","19610828","212716","-14.1","-73.9","100","4.8","20223006"
"43","19610830","034528","-3.9","-77.8","33","5.5","20223006"
"44","19610831","014839","-10.4","-70.7","605","7.1","20223006"
"45","19610831","015708","-10.5","-70.7","629","7.5","20223006"
"46","19610906","153020","-10.9","-79.1","45","4.8","20223006"
"47","19610912","111825","-11.1","-70.6","543","5.6","20223006"
