|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 2: 154034		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 3: 093024		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 4: 025758		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 5: 033732		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 6: 050724		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 7: 190616		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 8: 204006		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 9: 235425		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 10: 131823		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 11: 012852		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 12: 120924		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 13: 080207		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 14: 020539		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 15: 041914		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 16: 071515		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 17: 215534		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 18: 000803		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 19: 135833		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 20: 165813		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 21: 220219		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 22: 065327		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 23: 220156		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 24: 191706		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 25: 073831		|
|	[ 2023/07/22 15:25:21]	  |	     ERROR	  |	      Error al parsear la hora UTC en la línea 26: 034721		|
