|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	    Error al parsear la fecha UTC en la línea 2: 19600113		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 2: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 2: 154034		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	    Error al parsear la fecha UTC en la línea 3: 19600115		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 3: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 3: 093024		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	    Error al parsear la fecha UTC en la línea 4: 19600117		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 4: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 4: 025758		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	    Error al parsear la fecha UTC en la línea 5: 19600123		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 5: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 5: 033732		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	    Error al parsear la fecha UTC en la línea 6: 19600130		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 6: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 6: 050724		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	    Error al parsear la fecha UTC en la línea 7: 19600208		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	Error al parsear la fecha de corte en la línea 7: 20223006		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	       Error al parsear la hora UTC en la línea 7: 190616		|
|	[ 2023/07/25 20:39:59]	  |	     ERROR	  |	    Error al parsear la fecha UTC en la línea 8: 19600213		|
